Occupation,Female,Male
Management ,40,60
Business and Financial Operations ,54,46
Computer and Mathematical ,26,74
Architecture and Engineering ,16,84
Social Science,48,52
Community and Social Service ,67,33
Legal ,52,48
Education and Library,73,27
Arts and Design,48,52
Healthcare Technicians,75,25
Healthcare Support ,84,16
Protective Service ,23,77
Food Service,53,47
Building Maintenance,42,58
Personal Care and Service ,77,23
Sales and Related ,49,51
Administrative Support ,71,29
Agriculture and Fishing,26,74
Construction and Extraction ,4,96
Installation and Repair,4,96
Production ,29,71
Logistics,21,79
